,venue,latitude,longitude,category,center_lat,center_long
0,Whispering Pines Campsites & RV Park,43.120367,-73.910883,Campground,43.116698729758724,-73.92140293840555
1,Engine 82 House,43.11959999362111,-73.90997283520662,Bar,43.116698729758724,-73.92140293840555
2,Nick 's little engine shop,43.117469787597656,-73.90808868408203,Other Repair,43.116698729758724,-73.92140293840555
3,Pool heaven,43.10217,-73.94412,Harbor / Marina,43.116698729758724,-73.92140293840555
0,Farmer's Daughters',43.10043594319704,-73.65140916112152,Ice Cream,43.09444795591013,-73.66068777370539
1,Schuyler Park,43.100723168859005,-73.6531006753235,Baseball Field,43.09444795591013,-73.66068777370539
2,Adirondack Train & Hobby,43.10389298,-73.64030255,Hobbies,43.09444795591013,-73.66068777370539
3,Lance Plumbing,43.074678,-73.655491,Construction,43.09444795591013,-73.66068777370539
0,Harvest and Hearth,43.07367125844456,-73.6953300173177,Pizza,43.0948033292965,-73.69139844238843
1,Memphis Smoke House at Mr. Ed's,43.08754,-73.708609,BBQ,43.0948033292965,-73.69139844238843
2,Mr Eds Ice Cream,43.08752159318379,-73.70876929439113,BBQ,43.0948033292965,-73.69139844238843
3,Kayak Shak,43.07376134988592,-73.69522749920488,Lake,43.0948033292965,-73.69139844238843
4,Fish Creek Marina,43.07347191495196,-73.69578610247605,Harbor / Marina,43.0948033292965,-73.69139844238843
0,Village Pizzeria,43.07167560394505,-73.98818316121604,Italian,43.05864454021364,-73.96847200358289
0,None,43.03346919612908,-73.46254482106507,None,43.03346919612908,-73.46254482106507
0,DeJong Septic,43.03843,-74.12153,Home Services,43.04054769922708,-74.13757903909575
1,Midnight Oil Co N/E Inc,43.060332,-74.134253,Construction,43.04054769922708,-74.13757903909575
2,Adirondack Mechanical Corp,43.037299,-74.16625599999999,Construction,43.04054769922708,-74.13757903909575
3,Bill Kline Acres,43.06243896484375,-74.14457702636719,Farm,43.04054769922708,-74.13757903909575
0,Saratoga National Historical Park,43.005573,-73.64668,Historic Site,43.01612103208576,-73.6317124195539
1,Saratoga National Historical Park Visitor Center,43.01213,-73.64893,Tourist Information,43.01612103208576,-73.6317124195539
2,Wilkinson Trail,43.00839800838221,-73.63669321143816,Trail,43.01612103208576,-73.6317124195539
3,Benedict Arnold Memorial,43.00891499869572,-73.63934930900452,Historic Site,43.01612103208576,-73.6317124195539
4,Balcarres Redoubt,43.004923787419,-73.63853293635435,Other Outdoors,43.01612103208576,-73.6317124195539
5,Burgoyne's Headquarters,43.0022829545003,-73.62050867170468,Other Outdoors,43.01612103208576,-73.6317124195539
6,Barber Wheatfield,43.00111395509783,-73.64622510749246,Historic Site,43.01612103208576,-73.6317124195539
7,Saratoga National Battlefield,42.997568,-73.633637,National Park,43.01612103208576,-73.6317124195539
0,Sprinkles And Sugar,43.01116701781883,-73.70145306052525,Bakery,43.01683807267533,-73.69305547477464
1,Gorsky's Farm,43.011044,-73.709812,Food Stand,43.01683807267533,-73.69305547477464
0,On Da Boat Boyee,43.022915,-73.750576,Harbor / Marina,43.01752224362264,-73.75440072869006
1,Tornado Alley Inn,43.016065,-73.763522,Lake,43.01752224362264,-73.75440072869006
2,Saratoga Lake Sailing Club,43.02640431737507,-73.75094885258434,Lake,43.01752224362264,-73.75440072869006
3,I'm On A Boat,43.01130106080406,-73.76377910836895,Boat / Ferry,43.01752224362264,-73.75440072869006
4,Saratoga Lake,43.005637563881066,-73.74481784963679,Lake,43.01752224362264,-73.75440072869006
5,Aidan's Camp,43.002849,-73.766316,Campground,43.01752224362264,-73.75440072869006
6,Cozy Cottages,43.00921249389648,-73.73008728027344,Campground,43.01752224362264,-73.75440072869006
7,Harren Brook Inn,43.010569,-73.728783,Hotel,43.01752224362264,-73.75440072869006
8,USS Sick Day,43.03563810500585,-73.73972673413951,Boat / Ferry,43.01752224362264,-73.75440072869006
9,Verros Anchor Inn,43.01821307210356,-73.72514221671828,Pub,43.01752224362264,-73.75440072869006
10,Balet Garden & Nursery,43.038303,-73.76259,Garden Center,43.01752224362264,-73.75440072869006
11,I'm on a boat,43.033518,-73.732814,Boat / Ferry,43.01752224362264,-73.75440072869006
0,Andy's Adirondack Grille,43.01480102539063,-73.79248809814453,Restaurant,43.0178520019804,-73.78507414794913
1,Stewart's Shops,43.02617598,-73.79161662,Convenience Store,43.0178520019804,-73.78507414794913
2,Malta Drive-In Theatre,43.00389557811655,-73.78869032377239,Indie Movies,43.0178520019804,-73.78507414794913
3,Almost Saratoga,43.012268,-73.789423,Bar,43.0178520019804,-73.78507414794913
4,Delucias Grocery & Deli,43.013689126930736,-73.79050568750685,Food & Drink,43.0178520019804,-73.78507414794913
5,Dunning Street Station Bar & Grill,43.01304244995117,-73.78955078125,Restaurant,43.0178520019804,-73.78507414794913
6,13 North,43.026873,-73.791791,American,43.0178520019804,-73.78507414794913
7,Roosevelt Inn And Suites,43.0277499110411,-73.79161443000751,Hotel,43.0178520019804,-73.78507414794913
8,Furniture Theatre,43.003564,-73.789496,Furniture / Home,43.0178520019804,-73.78507414794913
9,Jack Dillons,43.037248873620335,-73.7893911940092,American,43.0178520019804,-73.78507414794913
0,The Factory Eatery & Spirits,43.00836202720291,-73.85050202554697,American,43.0187919640188,-73.87709742029433
1,Saratoga County Fairgrounds,43.00690743899818,-73.85652538611464,Fair,43.0187919640188,-73.87709742029433
2,Alaturco Mediterranean Grill,43.01115426345933,-73.84946905535863,Turkish,43.0187919640188,-73.87709742029433
3,Russell's Deli,43.00930438751222,-73.84965235254947,Deli / Bodega,43.0187919640188,-73.87709742029433
4,Dunkin',43.011132606932094,-73.84958684844975,Donuts,43.0187919640188,-73.87709742029433
5,I Love NY Pizza,43.00992965698242,-73.84986114501953,Pizza,43.0187919640188,-73.87709742029433
6,Ten EYCK Septic Tank Service Inc,43.0334358215332,-73.87246704101562,Home Services,43.0187919640188,-73.87709742029433
7,MWR Field,43.02847671508789,-73.89750671386719,Park,43.0187919640188,-73.87709742029433
8,Ballston Spa Country Club,43.00052383992808,-73.87096245801312,Golf Course,43.0187919640188,-73.87709742029433
9,Stewart's,43.03694588600592,-73.8918409257807,American,43.0187919640188,-73.87709742029433
10,Loca Luna,43.01144428,-73.8496929,Mexican,43.0187919640188,-73.87709742029433
0,Classical Concepts,43.011145753838,-73.37866081721404,Spa,42.99321829680176,-73.37154630278118
1,SERVPRO of North Rensselaer/South Washington Counties,43.01183,-73.37865699999999,Home Services,42.99321829680176,-73.37154630278118
